id,english,french,french 2020-01-20 (MM)
3help,"Click 'Get CL' to calculate the upper and lower confidence limits (CL) for the estimated hazard concentration and selected % threshold."",","Cliquer 'Get CL' pour obtenir le minimum et le maximum des limites de confiance (CL) pour l?estimation de la concentration limite (ex. HC5) et s?lectioner le % limite (5). Pour calculer CL d?un % diff?rent ou un nombre diff?rent de simulations bootstrap, entrer simplement de nouvelles valeurs dans la case et cliquer 'Get CL'. ",Cliquer 'Obtenir bornes' pour obtenir les bornes inf?rieures et sup?rieures de l'intervalle de confiance  pour l?estimation de la concentration pr?sentant un risque et le seuil (%) s?lectionn?. 
,,,
3hc,The model averaged estimate of the concentration that affects,"Selon le mod?le agr?g?, la concentration affectant ",L'estimation par inf?rence multimod?le de la concentration affectant
,,,
3hc2,% of species is,% des esp?ces est de ,
,,,
3cl,Get confidence limits,Obtenir les intervalles de confiance,Obtenir les bornes de l'intervalle de confiance
,,,
3pal,Colour palette ,?ventail de couleur  ,
,,,
3xlab,X-axis label ,Titre de l?axe des X  ,
,,,
3ylab,Y-axis label ,Titre de l?axe des Y ,
,,,
3title,Plot title ,Titre du graphique  ,
,,,
3legend,Colour legend title ,Titre de la l?gende par couleur,Titre de la l?gende des couleurs
,,,
3shape,Shape legend title,Titre de la l?gende par forme,Titre de la l?gende des symboles
,,,
3width,Width,Largeur,
,,,
3height,Height,Hauteur,
,,,
3dpi,Dpi (resolution),Dpi (r?solution),
,,,
3clbutton,Get CL,Get CL,Obtenir bornes
,,,
3cldesc1,The selected % threshold to estimate hazard concentration is,Le percentile limite est de,Le seuil (%) s?lectionn? pour estimer la concentration pr?sentant un risque est de 
,,,
3cldesc11,The selected hazard concentration to estimate % threshold is,Le concentration est de,La concentration pr?sentant un risque s?lectionn?e pour estimer le seuil (%) est de 
,,,
3cldesc2,and the number of bootstrap samples is,et le nombre de simulations bootstrap est de,
,,,
3cldesc3,This will take around,Cela prendra environ,
,,,
3cldesc4,to generate confidence limits.,pour g?n?rer les intervalles de confiance. ,pour g?n?rer les bornes de l'intervalle de confiance. 
,,,
4help,"Copy and paste code below to reproduce results. Code is added as functions are executed within the app. (e.g., code for generating confidence limits will appear after 'Get CL' is clicked.)",Copier et coller le code R ci-dessous pour reproduire la programmation. Le code est ajout? apr?s chaque ex?cution dans l?application. (par exemple : le code qui g?n?re l?estimation des intervalles de confiance apparaitra apr?s que 'Get CL' aura ?t? cliqu?.,Copier et coller le code R ci-dessous pour reproduire les r?sultats. Le code est ajout? apr?s chaque ex?cution de fonctions dans l?application (par exemple : le code qui g?n?re l?estimation des intervalles de confiance apparaitra apr?s que 'Obtenir bornes' soit cliqu?.
,,,
draft,This is a draft and may change at some point in the future.<br><br>,Cette version pourrait ?tre modifi?e en tout temps.<br><br>,Cette version est une ?bauche et elle pourrait ?tre modifi?e en tout temps.<br><br>
,,,
about,"This webpage fits species sensitivity distributions to concentration data. The user is able to select more than one distribution and plot the individual fits. <br/><br/>The columns in the goodness of fit table are the distribution (dist), the Anderson-Darling statistic (ad), the Kolmogorov-Smirnov statistic (ks), the Cramer-von Mises statistic (cvm), Akaike's Information Criterion (aic), Akaike's Information Criterion corrected for sample size (aicc), Bayesian Information Criterion (bic), the AICc difference (delta) and the AICc based Akaike weight (weight). The prediction is the model averaged (using aicc) estimate of the fit. The percent hazard concentration is the concentration of the chemical which is predicted to affect that percent of the species tested.<br/><br/>To cite package ssdtools in publications use:<br/>Thorley, J. and Schwarz C., (2018). ssdtools: An R package to fit Species Sensitivity Distributions. Journal of Open Source Software, 3(31), 1082. https://doi.org/10.21105/joss.01082<br/><br/>To cite the web app use:<br/>Seb Dalgarno (2018) ssdtools: A shiny web app to analyse species sensitivity distributions. Prepared by Poisson Consulting for the Ministry of the Environment, British Columbia. https://bcgov-env.shinyapps.io/ssdtools/","Cette page Web estime les fonctions de distribution de la sensibilit? des esp?ces gr?ce aux donn?es de concentration. L'utilisateur peut s?lectionner plus d'une distribution, et voir individuellement les graphiques de chaque courbe d'ajustement. <br/><br/> Les colonnes du tableau des degr?s d?ajustement sont la distribution (dist), la statistique d?Anderson-Darling (ad), la statistique de Kolmogorov-Smirnov (ks), la statistique de Cramer-von-Mises (cmv), le crit?re d?information Akaike (aic), le crit?re d?information Akaike corrig? pour la t-aille de l??chantillon (aicc), le crit?re d?information Bay?sien (bic), la diff?rence AICc (delta) et le coefficient AICc bas? sur le poids Akaike (weight). L?estimation de la fonction de distribution finale (mod?le agr?g?) est bas?e sur l?inf?rence multimod?le (? partir de l? aicc). La concentration du centile limite (ex. HC5) est la concentration estim?e d?une substance affectant ce centile (ex. 5%) de l?ensemble des esp?ces.<br/><br/>Pour citer l?application R ?ssdtools?:<br/>Thorley, J. and Schwarz C., (2018). ssdtools: An R package to fit Species Sensitivity Distributions. Journal of Open Source Software, 3(31), 1082. https://doi.org/10.21105/joss.01082<br/><br/>Pour citer l?application web :<br/>Seb Dalgarno (2018) ssdtools: A shiny web app to analyse species sensitivity distributions. Prepared by Poisson Consulting for the Ministry of the Environment, British Columbia. https://bcgov-env.shinyapps.io/ssdtools/","Cette page Web ajuste les fonctions de distribution de sensibilit? des esp?ces aux donn?es de concentration. L'utilisateur peut s?lectionner plus d'une distribution et repr?senter individuellement chaque courbe d'ajustement dans un graphique. <br/><br/> Les colonnes du tableau de l'?valuation de la qualit? de l?ajustement des courbes de distributiont sont la distribution (dist), la statistique d?Anderson-Darling (ad), la statistique de Kolmogorov-Smirnov (ks), la statistique de Cramer-von-Mises (cmv), le crit?re d?information Akaike (aic), le crit?re d?information Akaike corrig? pour la taille de l??chantillon (aicc), le crit?re d?information Bay?sien (bic), la diff?rence entre AICc (delta) et la pond?ration des crit?res d'information AICc (coefficient de pond?ration). L?estimation de la fonction de distribution finale est bas?e sur l?inf?rence multimod?le (? partir de l?AICc). La concentration pr?sentant un risque est la concentration estim?e d?une substance affectant un centile (seuil) s?lectionn? de l?ensemble des esp?ces.<br/><br/>Pour citer l?application R ?ssdtools?:<br/>Thorley, J. and Schwarz C., (2018). ssdtools: An R package to fit Species Sensitivity Distributions. Journal of Open Source Software, 3(31), 1082. https://doi.org/10.21105/joss.01082<br/><br/>Pour citer l?application web :<br/>Seb Dalgarno (2018) ssdtools: A shiny web app to analyse species sensitivity distributions. Prepared by Poisson Consulting for the Ministry of the Environment, British Columbia. https://bcgov-env.shinyapps.io/ssdtools/"
,,,
hintdata,You have not added a dataset.,Aucun ensemble de donn?es n?a ?t? entr?.,Aucun ensemble de donn?es n?a ?t? ajout?.
,,,
hintnum,Concentration column must contain number.,La colonne 'concentration' doit contenir des nombres.,
,,,
hintmiss,Concentration values must not be missing.,Aucune concentration ne doit ?tre manquante.,Aucune valeur de concentration ne doit ?tre manquante.
,,,
hintpos,Concentration values must be positive.,Les concentrations doivent ?tre des valeurs positives.??,Les valeurs de concentration doivent ?tre des  positives.??
,,,
hintfin,Concentration values must be finite.,Les concentrations ne peuvent pas ?tre des donn?es censur?es.,Les valeurs de concentration ne peuvent pas ?tre censur?es.
,,,
hintident,Concentration values must not all be identical.,Les concentrations ne peuvent pas ?tre toutes identiques.,Les valeur de concentration ne doivent pas ?tre toutes identiques.
,,,
hint6,There must be at least 6 concentration values.,Six concentrations sont minimalement requises.?,Six valeurs de concentration sont minimalement requises.?
,,,
hintdist,At least one distribution must be selected.,Une distribution doit minimalement ?tre s?lectionn?e.?,Au moins une distribution doit  ?tre s?lectionn?e.?
,,,
hintpred,You must select the 'Fit' tab before using the 'Predict' tab.,S?lectionner l?onglet 'Ajustement' avant l?onglet 'Estimation'.,
,,,
hintfit,You have not successfully fit any distributions yet. Run the 'Fit' tab first.,Aucune distribution n?a ?t? ajust?e. Ex?cuter l?onglet 'Ajustement' en premier.,Aucune distribution n?a encore ?t? ajust?e avec succ?s. Ex?cuter d'abord l?onglet 'Ajustement'.
,,,
hintfail,distribution(s) failed to fit. Run R code to get more information.,?chec dans l?ajustement des distributions. Ex?cuter le code R pour plus d?informations.,
,,,
hintsym,Symbol variable cannot be numeric. ,La colonne 'Symboles' ne doit contenir des nombres.,La colonne 'Symboles' ne doit pas contenir de nombres.
